Folder,Data_Source,Code,Name,Latitude,Longitude,COMID_v1,COMID_v2,Bias,Bias Corrected,Variability,Corrected Variability,Correlation,Corrected Correlation,KGE,Corrected KGE
Africa,Ethiopia,31013,Awash_at_Melka_Hombole,8.383333,38.783333,7055126,110884878,3.385242377,0.955533745,0.785026601,1.044105463,0.761882921,0.774423858,-1.406718617,0.765890762
Africa,GRDC,1104150,SIDI BELATAR,36.02,0.27,7000293,150293767,0.786338911,0.945787673,0.769263945,0.983679425,0.611098487,0.607839228,0.499865443,0.603773539
Africa,GRDC,1104450,FER A CHEVAL,36.67,2.82,7000070,150234194,0.849095594,1.231863311,0.768636355,0.918451741,0.665096738,0.695275815,0.565878507,0.608506012
Africa,GRDC,1104600,SIDI YAHIA,36.42,4.6,7000155,150275877,1.847724996,0.926858028,0.9277775,1.132332466,0.546345923,0.560173704,0.035813411,0.534909901
Africa,GRDC,1104800,BOUCHEGOUF,36.45,7.72,7000140,150250082,0.203490313,0.880959683,0.94905761,1.150391785,0.620250693,0.688871447,0.116126511,0.634501351
Africa,GRDC,1107700,PIERRE DU CHAT,35.15,-1.45,7000697,150488274,1.322915463,2.032918794,0.45806244,0.583041642,0.312384352,0.322099188,0.066840852,-0.303965114
Africa,GRDC,1107800,BENSEKRANE,35.07,-1.22,7000709,150531926,0.90840972,1.155896629,0.779394521,1.211221398,0.309510486,0.161123851,0.269362385,0.121005443
Africa,GRDC,1112100,KAYES,14.45,-11.28,7039846,140568540,3.095179433,1.083716594,0.800229218,0.879644595,0.848731475,0.875972873,-1.110110752,0.807967138
Africa,GRDC,1112110,KABATE,14.31,-11.13,7038813,140673368,2.88294636,0.227139835,4.144036996,2.49160561,0.358829312,0.407992468,-2.720424099,-0.78119989
Africa,GRDC,1112200,GOURBASSY,13.23,-11.38,7042358,140661803,2.533367905,1.120513453,0.690254309,0.818324943,0.713809925,0.750512191,-0.590303205,0.66867918
Africa,GRDC,1112300,GALOUGO,13.83,-11.13,7040646,140587514,3.268934759,1.081161577,0.787817069,0.867544953,0.828769469,0.865420028,-1.285258504,0.794468227
Africa,GRDC,1112320,OUALIA,13.36,-9.23,7042047,140677803,0.268719149,0.57009884,1.311968309,1.306122107,0.352157138,0.39814212,-0.025571199,0.199525978
Africa,GRDC,1112330,SIRAMAKANA,13.34,-9.53,7041180,140607909,2.775503007,0.735973427,0.686825845,0.936206577,0.482578735,0.54681404,-0.875690205,0.47164676
Africa,GRDC,1112340,TOUKOTO,13.45,-9.88,7041703,140631222,4.392207027,0.877717453,0.84475693,0.850380631,0.495452115,0.561521835,-2.433036191,0.52083189
Africa,GRDC,1112350,DIBIA,13.14,-10.48,7042093,140628328,2.87833147,1.198653827,0.910637699,0.942524511,0.849385698,0.85913989,-0.886478041,0.749783403
Africa,GRDC,1112400,FADOUGOU,12.31,-11.23,7044169,140593434,1.400439747,1.156988506,0.872423511,0.857943604,0.709719083,0.80567739,0.489225331,0.712621003
Africa,GRDC,1112480,DAKA SAYDOU,12.15,-10.2,7044818,140618231,2.404942627,1.058129427,0.811300724,0.919754062,0.867309192,0.885960223,-0.423754913,0.848925477
Africa,GRDC,1112500,BAFING MAKANA,12.33,-10.16,7044698,140667691,2.57617619,1.114012682,0.888479906,0.947553216,0.8510755,0.875988693,-0.587118968,0.823567687
Africa,GRDC,1134020,GUELELINKORO,11.15,-8.55,7048067,140603729,3.334556141,1.431343858,1.070426535,0.864006471,0.774490884,0.892793274,-1.346479626,0.535193539
Africa,GRDC,1134030,BANANKORO,11.6833,-8.6667,7046247,140645914,2.172449482,1.296599109,0.878561789,0.953711727,0.839548844,0.872853268,-0.1895922,0.673993976
Africa,GRDC,1134040,GOUALA,11.97,-8.23,7045656,140597846,2.930231446,1.959507993,1.064140245,1.072732132,0.785117038,0.797487884,-0.943214372,0.01666043
Africa,GRDC,1134050,SELINGUE,11.58,-8.17,7046215,140578944,2.892828326,1.664465152,0.942209791,0.894991948,0.596275122,0.652981199,-0.936267687,0.243057018
Africa,GRDC,1134060,YANFOLILA,11.13,-8.2,7047806,140587713,2.958291325,1.344192962,1.336918985,0.909721364,0.482128629,0.971036318,-1.053438598,0.642987505
Africa,GRDC,1134080,MADINA DIASSA,10.8,-7.67,7048474,140613947,4.055078284,1.363425653,0.850900108,0.794299411,0.679918616,0.818085227,-2.075416426,0.544495969
Africa,GRDC,1134100,KOULIKORO,12.8667,-7.55,7043104,140610883,2.172825862,1.482116158,0.944559431,0.984162025,0.816287395,0.856343473,-0.188421003,0.496686947
Africa,GRDC,1134110,BOUGOUNI,11.4,-7.45,7046813,140656126,3.75462389,1.977767156,0.848664399,0.774559848,0.703190186,0.817722441,-1.774698417,-0.019841645
Africa,GRDC,1134150,KOLONDIEBA,11.07,-6.85,7047830,140628488,5.675956354,1.327605156,0.89719869,0.879045996,0.563443518,0.738152829,-3.697416045,0.563515235
Africa,GRDC,1134200,DIOILA,12.52,-6.8,7043969,140673515,3.706995852,2.639504934,0.90763791,0.799835326,0.697166334,0.796477761,-1.725447767,-0.664170553
Africa,GRDC,1134220,PANKOUROU,11.42,-6.57,7046695,140584781,2.400706531,2.255257338,0.960644834,0.904626997,0.660551854,0.795625656,-0.441788008,-0.275357153
Africa,GRDC,1134250,KIRANGO AVAL,13.7167,-6.05,7041419,140632663,2.892783785,1.891479525,0.873565196,0.900252706,0.864176088,0.878006618,-0.901858131,0.094700242
